Section,Parameters,Count,Management keeps me informed about important issues and changes.,Management makes its expectations clear.,I can ask management any reasonable question and get a straight answer.,"Management is approachable, easy to talk with.",Management is competent at running the business.,Management hires people who fit in well here.,Management does a good job of assigning and coordinating people.,Management trusts people to do a good job without watching over their shoulders.,People here are given a lot of responsibility.,Management has a clear view of where the organization is going and how to get there.,Management delivers on its promises.,Management's actions match its words.,I believe management would lay people off only as a last resort.,Management is honest and ethical in its business practices.,Our executives fully embody the best characteristics of our company.,I am offered training or development to further myself professionally.,I am given the resources and equipment to do my job.,Management shows appreciation for good work and extra effort.,Management recognizes honest mistakes as part of doing business.,"We celebrate people who try new and better ways of doing things, regardless of the outcome.",Management genuinely seeks and responds to suggestions and ideas.,Management involves people in decisions that affect their jobs or work environment.,This is a physically safe place to work.,This is a psychologically and emotionally healthy place to work.,Our facilities contribute to a good working environment.,People are encouraged to balance their work life and their personal life.,"Management shows a sincere interest in me as a person, not just an employee.",We have special and unique benefits here.,I am able to take time off from work when I think it's necessary.,People here are paid fairly for the work they do.,I feel I receive a fair share of the profits made by this organization.,Everyone has an opportunity to get special recognition.,I am treated as a full member here regardless of my position.,Promotions go to those who best deserve them.,Managers avoid playing favourites.,People avoid politicking and backstabbing as ways to get things done.,People here are treated fairly regardless of their age.,People here are treated fairly regardless of their race or caste.,People here are treated fairly regardless of their gender.,"If I am unfairly treated, I believe I'll be given a fair hearing if I appeal.",People here are treated fairly regardless of their sexual orientation.,I feel I make a difference here.,My work has special meaning: this is not 'just a job'.,"When I look at what we accomplish, I feel a sense of pride.",People here are willing to put in extra effort to get the job done.,People here quickly adapt to changes needed for our organizationâ€™s success.,I want to work here for a long time.,I'm proud to tell others I work here.,People look forward to coming to work here.,I feel good about the ways we contribute to the society.,I would strongly endorse my company to friends and family as a great place to work.,"Our customers would rate the service we deliver as ""excellent"".",I can be myself around here.,People celebrate special events around here.,People care about each other here.,This is a fun place to work.,"When you join the organization, you are made to feel welcome.","When people change jobs or work units, they are made to feel right at home.",You can count on people to cooperate.,Management does a good job of developing managers for leadership positions.,Management does a good job of attracting talent for key positions.,People here understand how their role contributes to the organization's goals.,There are opportunities here for my career growth.,Performance of employees here is fairly evaluated.,Management takes action on feedback gathered from employees.
Role,Below_Supervisory,69,84,84,67,74,91,80,77,77,76,81,75,74,84,87,83,84,80,72,72,80,74,62,96,79,78,72,78,76,77,62,57,58,84,60,50,59,76,84,80,79,87,74,78,77,83,83,84,91,81,86,84,90,75,90,70,74,86,71,72,74,78,81,77,66,74
Role,Supervisory,42,76,79,64,79,95,79,90,81,83,86,81,81,83,90,93,88,86,80,79,90,86,85,95,95,90,79,81,79,81,64,60,71,88,69,64,71,83,93,93,86,93,90,88,95,83,93,93,98,83,95,90,95,83,93,81,90,90,81,74,88,88,93,76,74,76
Role,Managerial,38,67,76,61,76,83,68,74,78,78,74,74,68,78,89,74,76,65,66,70,76,57,64,95,79,82,64,69,67,84,68,51,63,79,58,56,53,79,89,84,67,83,66,76,76,84,74,66,81,82,86,79,87,71,86,74,71,79,65,71,70,62,72,72,56,61
Role,Senior_Managerial,27,74,81,65,89,85,63,88,78,81,70,67,74,93,81,85,77,70,73,74,67,70,63,96,93,85,81,78,74,81,58,59,63,93,56,59,48,85,100,93,70,93,85,92,74,63,77,85,93,89,88,89,89,93,93,77,78,96,72,58,73,65,81,73,69,69
Gender,Female,45,76,82,64,80,96,78,78,82,84,82,78,71,80,87,76,80,77,73,71,80,78,70,98,89,78,76,80,76,80,62,47,60,80,58,49,49,78,87,82,87,89,76,82,71,80,84,76,93,87,89,84,93,69,91,73,76,89,71,70,69,80,84,76,64,71
Gender,Male,129,77,80,64,76,87,74,84,76,78,78,74,75,85,88,87,83,77,73,74,79,70,67,95,83,85,73,76,74,80,63,60,63,88,63,58,64,81,91,87,73,89,79,83,83,80,82,85,91,81,88,85,89,82,91,76,78,86,72,70,80,74,82,75,67,71
Age,25_years_or_younger,11,100,91,91,82,100,100,100,82,82,91,100,91,91,100,100,82,82,100,82,91,91,55,100,100,100,91,100,100,91,73,73,82,91,100,55,55,73,100,100,100,100,91,82,82,91,100,91,100,100,100,100,100,82,100,100,91,100,82,73,91,100,100,91,90,82
Age,26_years_to_34_years,62,77,84,61,75,93,79,80,80,78,81,77,76,85,85,87,92,82,67,70,84,70,69,95,84,82,69,79,75,82,66,57,56,82,63,54,61,79,82,81,77,85,79,82,77,84,83,81,95,81,90,84,94,76,90,74,82,82,74,70,82,79,85,82,70,75
Age,35_years_to_44_years,84,72,76,60,76,87,68,77,75,76,75,69,71,80,88,79,75,71,70,72,76,71,65,94,82,80,72,70,68,77,58,49,65,85,57,55,56,80,93,87,73,90,73,80,83,77,81,82,86,81,86,83,89,77,88,68,70,89,67,71,71,70,77,67,60,65
Age,45_years_to_54_years,16,81,81,81,88,81,75,93,81,93,81,75,69,88,81,81,80,81,87,81,69,69,87,100,94,88,81,88,81,75,71,75,56,94,56,63,63,88,94,88,75,81,88,93,75,69,73,88,94,88,87,88,75,94,94,87,88,88,79,53,67,67,80,73,60,73
DurationWCompany,More_than_1_year_upto_2_years,44,82,89,77,82,95,82,91,86,81,91,89,86,82,93,91,84,79,79,77,91,82,70,95,93,91,74,93,81,86,73,61,66,86,67,58,65,81,91,89,81,91,86,86,84,86,91,80,93,95,95,89,93,77,91,86,89,91,75,82,86,91,95,91,77,77
DurationWCompany,More_than_2_years_upto_5_years,38,76,82,53,74,89,71,68,74,82,76,63,63,82,79,76,84,71,74,66,74,63,66,97,68,74,66,63,61,79,53,63,55,82,63,53,42,68,79,76,79,82,61,76,74,79,74,79,92,74,82,79,95,68,89,68,71,82,71,61,68,63,74,74,63,66
DurationWCompany,More_than_5_years_upto_10_years,62,75,79,64,77,89,74,84,82,73,78,79,79,89,90,85,82,81,69,79,82,74,68,95,92,85,75,75,79,77,62,49,65,87,58,60,61,89,97,92,77,93,79,82,85,81,85,87,89,84,92,90,92,85,93,73,77,90,78,71,77,75,80,70,65,72
DurationWCompany,More_than_10_years_upto_15_years,19,79,74,68,79,78,74,84,74,84,68,63,63,78,83,79,74,63,74,63,68,79,67,95,84,84,78,78,72,74,61,68,74,89,53,53,67,74,89,84,61,83,79,84,74,74,84,74,84,79,79,79,84,79,89,67,74,79,63,68,74,68,78,72,67,67
DurationWCompany,More_than_15_years_upto_20_years,7,50,67,50,83,86,43,67,50,67,67,43,57,86,71,71,83,67,50,83,71,33,60,100,83,71,86,71,71,86,50,33,17,86,43,33,71,86,100,86,86,100,100,83,83,50,71,86,100,71,83,71,57,86,71,71,71,86,50,67,67,71,71,43,43,57
WorkStatus,Full_time,177,77,81,65,78,90,75,81,78,79,79,75,75,84,87,84,82,77,73,74,80,73,68,95,85,83,74,77,75,80,63,57,63,85,61,56,59,80,90,86,77,89,78,82,81,80,83,82,91,83,88,85,90,79,90,74,78,87,72,70,76,75,82,75,66,71
TrustInExecJudgement,Great_deal,69,87,91,84,87,96,90,95,90,86,87,87,86,93,94,96,91,84,86,85,87,81,70,96,96,90,87,90,84,88,70,66,75,94,75,76,75,90,94,93,90,91,87,88,85,85,93,88,96,90,94,97,96,88,96,84,90,96,85,79,88,85,97,87,88,87
TrustInExecJudgement,Fair_amount,87,74,80,58,78,88,68,80,77,74,81,74,77,84,88,80,80,73,70,71,80,72,73,97,83,85,70,76,74,79,64,56,63,85,60,50,56,79,90,87,72,92,76,85,78,80,81,83,90,85,90,84,92,79,90,74,79,86,69,74,76,73,77,77,61,70
TrustInExecJudgement,Just_some,17,59,47,24,41,76,47,41,41,76,47,41,24,59,65,59,53,65,41,47,47,41,38,94,59,53,47,41,47,59,35,24,18,59,18,12,29,53,82,53,53,71,59,53,71,59,53,59,82,53,65,53,65,47,76,41,24,65,41,29,38,53,53,24,12,24
"Over the last year, how many meaningful opportunities have you had to develop new and better ways of doing things at work?",A_lot,65,86,89,83,91,100,91,95,88,92,94,86,88,86,95,95,89,83,86,86,89,83,73,98,94,94,81,92,86,88,83,72,81,97,80,73,73,88,92,92,89,92,89,89,91,89,94,92,97,91,98,95,97,92,94,89,91,95,79,81,95,91,98,92,85,90
"Over the last year, how many meaningful opportunities have you had to develop new and better ways of doing things at work?",Some,76,83,84,68,79,87,72,83,82,78,82,83,79,87,88,86,85,80,80,79,83,80,74,96,85,88,77,79,73,83,68,61,61,86,61,53,59,88,93,88,76,88,78,86,83,82,81,86,92,88,92,88,91,85,93,79,79,89,75,74,75,78,80,79,67,71
"Over the last year, how many meaningful opportunities have you had to develop new and better ways of doing things at work?",Just_a_few,27,52,67,30,54,85,56,63,48,63,52,48,48,85,77,70,67,58,38,46,65,38,43,93,81,70,54,58,65,67,19,19,41,74,30,32,38,52,89,73,58,88,67,73,65,67,77,63,84,70,63,74,81,48,81,44,63,67,62,52,56,54,69,42,38,38
"Over the last year, how many meaningful opportunities have you had to develop new and better ways of doing things at work?",,8,25,38,13,50,63,38,25,63,50,13,13,13,50,50,25,63,63,25,25,25,38,38,88,38,0,38,13,25,50,25,25,25,38,25,38,25,50,50,63,63,75,38,38,38,50,38,50,63,25,63,25,75,25,75,25,25,75,38,25,13,13,25,25,13,38
Grade,E2,107,82,85,67,78,94,81,86,77,80,86,82,78,87,88,88,89,84,78,76,86,80,71,97,86,86,73,81,79,77,70,61,65,90,69,59,62,78,89,88,82,90,82,84,83,88,88,89,95,84,91,90,93,82,93,77,83,90,76,76,80,82,88,81,73,76
Grade,E3,37,57,65,51,67,83,59,66,74,74,65,62,65,72,86,73,70,70,59,61,67,58,62,92,78,73,64,69,58,84,49,47,59,70,49,46,56,81,89,78,67,86,68,75,81,70,69,73,78,76,83,70,86,65,83,68,62,81,61,65,66,58,67,67,53,58
Grade,E4,17,82,88,69,88,94,71,82,76,82,71,65,76,88,94,88,76,59,71,76,76,71,63,100,94,94,88,69,75,82,63,47,71,82,41,59,56,82,94,88,75,94,76,88,82,71,88,76,88,88,88,94,94,82,94,71,82,94,65,65,82,82,88,63,56,69
Grade,E5,9,89,89,78,89,78,78,100,89,78,78,78,78,89,89,89,78,67,78,78,89,78,67,89,100,78,78,89,78,89,67,78,67,100,78,56,67,89,100,89,78,78,78,78,67,78,78,78,100,89,78,100,78,89,89,88,78,67,100,67,89,78,89,67,78,78
Grade,E6,7,71,86,71,100,71,71,86,100,86,71,71,71,100,71,71,71,71,86,100,57,43,71,100,86,86,100,71,86,100,57,43,43,100,57,71,43,100,100,100,71,100,86,100,71,57,71,71,100,100,100,71,86,100,86,86,86,100,67,33,57,43,71,86,57,71
Departments,ANCILLARY,7,71,71,43,57,57,57,57,71,71,57,57,57,71,71,57,100,71,71,43,57,29,86,86,57,71,57,57,57,57,57,57,57,57,57,71,43,86,86,86,57,86,57,57,71,71,57,57,57,71,71,57,71,71,86,57,57,86,29,43,43,57,57,57,57,57
Departments,facility_management,5,25,33,0,33,80,80,50,0,50,50,60,60,80,80,80,50,50,50,50,80,50,50,100,75,80,40,60,60,80,50,50,75,60,80,50,50,60,80,60,60,80,100,75,100,67,60,80,80,40,75,60,80,80,80,60,60,60,33,33,80,60,80,60,60,80
Departments,post_sales,8,88,100,75,100,100,75,88,88,88,88,75,100,100,88,75,88,100,75,88,88,88,86,100,100,100,75,100,75,88,75,50,75,100,63,75,63,88,100,100,88,100,100,100,100,88,100,100,88,100,100,100,100,100,88,75,88,100,88,100,88,75,88,75,75,100
Departments,pre_sales,15,80,87,60,93,100,87,87,73,87,80,87,80,93,87,87,93,93,73,73,87,93,79,100,93,87,80,80,67,93,73,53,67,80,73,47,73,87,87,100,93,100,100,87,87,100,93,87,100,87,100,80,93,80,100,80,87,93,80,60,80,87,93,93,71,87
Departments,premium_homes,21,65,81,48,71,86,43,75,75,74,65,67,62,76,90,71,71,52,67,57,70,43,53,100,86,67,81,71,71,86,57,52,57,81,52,45,48,81,90,71,76,90,52,71,71,67,70,62,81,81,75,76,90,62,81,71,67,76,67,57,84,60,75,70,70,65
Departments,RESIDENTIAL,24,92,100,96,92,100,96,100,96,92,96,96,96,92,96,100,91,88,92,96,100,96,79,100,96,96,78,100,96,83,88,83,83,100,87,78,78,87,96,96,87,96,96,88,92,92,100,92,100,100,100,96,100,91,96,96,100,100,92,100,100,100,100,96,100,92
Departments,residential_sales,65,83,82,69,78,94,75,84,75,78,84,75,72,88,88,88,92,80,78,78,85,77,70,94,85,88,73,77,84,74,60,56,66,92,60,53,61,77,88,84,81,88,80,86,83,83,88,89,97,83,88,92,95,82,94,74,83,88,75,72,77,75,86,77,65,69
Location,Kolkata,176,77,80,64,78,90,75,82,78,79,80,76,75,84,87,84,83,77,73,74,80,73,69,95,86,84,74,77,75,80,64,57,63,86,62,56,59,81,90,86,77,89,78,83,81,80,83,83,91,83,88,86,90,79,91,75,78,87,73,71,77,75,83,76,67,72
EdQualification,School__Undergraduate,6,20,20,0,40,67,67,40,40,60,40,50,67,67,83,67,40,40,20,40,67,40,60,80,60,67,50,33,50,83,20,20,40,50,67,40,50,50,67,50,50,67,83,60,80,60,50,67,67,33,60,50,67,67,67,50,50,50,40,20,67,67,67,50,50,67
EdQualification,Graduate_or_Equivalent,92,86,87,77,84,92,78,87,78,84,84,80,79,88,90,88,88,84,78,79,85,77,70,98,87,89,76,82,81,77,73,69,67,90,69,61,63,81,95,90,81,93,76,82,79,83,86,85,95,87,90,89,93,81,94,79,84,92,73,74,79,78,84,78,74,76
EdQualification,Post_Graduate,75,70,76,56,75,89,73,77,80,76,78,73,71,80,84,79,78,72,72,72,76,71,69,93,84,77,75,75,72,83,57,47,60,81,55,53,57,80,85,83,76,85,80,84,83,79,81,83,88,83,89,83,89,79,87,72,73,84,73,69,74,74,82,75,59,67
Hometown,Metro,145,78,84,65,80,91,77,83,78,80,79,76,76,85,87,83,84,78,74,74,82,74,69,97,88,85,75,78,76,80,64,57,63,86,63,57,59,82,92,87,78,92,78,82,83,82,85,83,92,83,90,86,92,81,92,78,80,89,72,71,77,77,83,76,66,72
Hometown,Non__Metro,32,73,65,61,68,84,66,72,77,72,80,72,69,81,88,84,73,68,70,71,68,68,66,90,74,75,66,72,69,81,59,55,65,81,56,53,59,72,78,81,72,75,78,83,71,71,70,78,88,81,83,81,84,72,84,59,69,78,73,68,73,70,80,70,70,67
,best_scores,0,90,90,88,92,94,89,89,91,85,92,88,89,87,94,93,88,93,88,88,90,90,84,97,90,93,87,86,82,91,82,77,86,92,82,79,83,93,95,95,88,95,89,89,92,91,91,89,94,90,91,92,93,90,92,91,88,94,87,88,88,88,91,88,86,87
,our_score,0,77,81,64,78,90,75,82,78,79,79,75,75,84,87,84,82,77,73,74,80,73,68,95,85,83,74,77,75,80,63,57,63,85,62,56,59,80,90,86,77,89,78,82,81,80,83,83,91,83,88,85,90,79,90,75,78,87,72,70,77,75,82,75,67,71
